task,split,paper_id,promptbook_version,judgment_index,pass_name,model_used,truth,decision,confidence,status,outcome,reasoning,promptbook_evidence,run_id,response_id,configuration_fingerprint,configuration_source,effort,route,transport
data_analysis,build,WCA66X4I,v1,2,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,"Randomization stratified on rural/urban and Medicaid % (D9), but planned GLMM only includes clinic/provider random effects and sex; stratification variables not explicitly adjusted (D10/D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-1934960c3dc1e13c55d23abc127282c720401f6305cb37719df1e0783f4e4bd4,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,WD74R75C,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"GEE at practice level handles clustering, but stratification factors (EHR vendor, baseline HPV rate, baseline visit volume) used for restricted randomization are never adjusted for in the analysis.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-81077167f249f9e7ff3b9ea1cf913b1c5f8c673f3e0373bed38e75c07af7e1a0,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,WTLH8PPX,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,WUNIU4CC,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,WY9D5UIK,v1,2,primary,claude-sonnet-5,no,no,0.85,scored,true_negative,This is a protocol paper with no data analysis plan described for accounting for clustering; only sample size design effect mentioned.,D4,run-data_analysis-r1-060a29aa3b615279e75d,response-aae7e0b97cd3943754a9598ecd398abf966b9bbbc0395eba569080d7998ad3d5,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,X2MP4F7R,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,X2MXMQA7,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,XEIAGV9H,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,XFPCQLGP,v1,2,primary,claude-sonnet-5,no,no,0.78,scored,true_negative,"CHCs pair-matched on rural/urban location (restriction present), but primary mixed model only includes random intercept for CHC—no pair/stratum term, violating D11.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-4df88fc3dc235a6075141d24d3d3718c9414f4db85625a609953601bd3e7f3fc,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,Y9EY4XQ8,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,YJDJH8TY,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,YR23V33N,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,Z2W7K5DA,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,Z6WDVTKT,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,ZETJJPRR,v1,2,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,CHCs randomized in 3 waves (block randomization) but primary GLMM only includes commune random intercept + education covariate; wave/block not adjusted for.,D11,run-data_analysis-r1-060a29aa3b615279e75d,response-d7e94436619f4a4e0fb8f43d82dc8d065b80c56fa4767c8c284501c3a2fd9de9,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,ZH47UTGY,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,ZXHI8G3B,v1,,,,no,,,missing,missing,,,,,,,,,
